Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Ground,Summary
10/12/1962,,"Near Camona, Spain",Iberia Airlines,,Barcelona - Valencia - Seville,Convair CV-440 -62,EC-ATB,443,18.0,0.0,Crashed into mountain while attempting to land.
02/05/2006,16:53,"Near Watertown, Wisconson",Air Cargo Carriers,,,Shorts 360-100 /Shorts 360-300,N3735W/N372AC,SH-3735/SH-3720,3.0,0.0,"The cargo plane was on a test flight. While flying in formation with another plane taking pictures the left wing impacted the left wing and engine of the other plane. The plane lost contorl, crashed and burned. The flight crew failed to maintain clearance from another aircraft as they turned to break formation flight while maneuvering. Contributing to the accident was the decision of both flight crews to fly in formation."
12/09/1999,15:12,"Near Branson, Missouri",College of the Ozarks,,Saint Louis - Branson,Cessna 525 Citation,N525KL,525-0136,6.0,0.0,"The executive jet descended below minimums and struck the side of a hill while attempting to land at Point Lookout. The pilot descended below the minimum altitude for the segment of the GPS approach. Factors relating to the accident were low ceilings, rain, and pilot fatigue."
04/21/1929,,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6.0,0.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
09/17/1929,,"Mt Lamentation, Connecticut",Colonial Air Transport,,,Pitcairn PA-6 Mailwing,,,1.0,0.0,The mail plane crashed into Mt. Lamentation and burst into flames.
01/06/1959,11:20,"Mt. Pena Blanca, Guatemala",Sahsa Airlines,,Copan - Nuovo Octopeque,Douglas DC-3,XH-SAA,19667,5.0,0.0,Crashed into Mt. Pena Blanca while en route. The pilot's attempt to fly over mountainous terrain by visual reference to the ground under weather conditions restricting visibility which forced him to descend to a dangerously low altitude.
01/10/1995,,"Off Flores Island, Inodnesia",Merpati Nusantara Airlines,6715,Bima - Ruteng,de Havilland Canada DHC-6 Twin Otter 300,PK-NUK,390,14.0,0.0,"The aircraft disappeared while en route from Bima, Sumbawa Island to Ruteng, Flores Island, and crashed into the Molo Strait. The accident occurred in daylight, in poor weather."
07/17/1965,12:10,"Off Choushi, Japan",Military - Japan Maritime Self Defense Force,,,Lockheed P2V-7,,,11.0,0.0,Crashed into the sea.
10/13/1991,,"Aponguao Falls, Venezuela",EDELCA,,Kavanayen - Luepa,Bell 214 ST,YV-O-CVG-4,28181,12.0,0.0,"The helicopter was destroyed when it struck Kumaraden Hill at 4,600 ft. while on a sceniflight.  The passengers included EDELCA president and members of his family."
05/18/1955,11:56,"Mt. Kilimanjaro, Kenya",East African Airways,,Dar-es-Salaam - Nairobi,Douglas DC-3,VP-KKH,16820/33568,20.0,0.0,Crashed after reporting being over Jipe Lake on the slopes of Mt. Kilimanjaro. Failure to follow prescribed route and procedures.
02/19/1973,10:06,"Prague, Czechoslovakia",Aeroflot,,Moscow - Praha,Tupolev TU-154,CCCP-85023,023,100.0,0.0,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane.
09/14/1931,20:00,"Chicago, Illinois",Chicago-Detroit Airways,,,Lockheed Vega,NC606,,1.0,0.0,Crashed in a severe rainstorm while attempting to land.
04/18/1972,09:39,"Addis Ababa, Ethiopia",East African Airways,720,Addis Ababa - Rome,BAC Super VC-10 1154,5X-UVA,881,107.0,0.0,The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.
04/21/1971,17:26,"C. Amalie, Virgin Islands",Costal Airway,,"C. Amalie, VI - San Juan, PR",Beech E18S,N456T,,8.0,0.0,The plane crashed on take off after an engine failure. Inadequate maintenance and inspection of powerplants. Failed to follow approved procedures and directives. Improper emergency procedures.
03/03/2001,09:55,"Unadilla, Georgia",Military - Florida Army National Guard,,"Fort Walton Beach, Fl - Oceana Naval Air Station, VA",Short 360,93-1336,3684/3420,21.0,0.0,"The plane was on a flight from Florida to Oceana Naval Air Station in Virginia when witnesses observed the plane gliding down and losing altitude until it impacted the ground, exploding into flames. Heavy rain and wind were present in the area at the time of the accident. Weight imbalances in the aircraft were the primary cause of the accident as the cargo shifted when the pilot  got up and walked through the plane toward the rear of the plane, unbalancing the aircraft just as it hit severe turbulence. This led to the loss of control and break-up of the aircraft."
08/15/1966,18:45,"Anchorage, Alaska",NC Simpson - Taxi,,,Beech C-18S,N445,,4.0,0.0,Fatigue fracture on right wing leading to inflight separation in flight.
05/06/1937,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97.0,1.0,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were statidischarge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a statidischarge between the Hindenburg's outer skin and frame causing the hydrogen to ignite."
02/19/1984,,"Near San Gerardo, El Salvador",Military - Salvadoran Air Force,,,Bell UH-1H / Bell UH-1H,,,28.0,0.0,"One of the helicopters was hit by guerrilla mortar fire and lost control, crashing into the other helicopter."
03/05/1984,,"Cumberland, Maryland",Air Taxi,,,Piper PA-31,N6629L,,3.0,0.0,Approximately 16 minutes prior to the accident the pilot was cleared for the localizer DME approach. The aircraft collided with the mountainous terrain on a heading of about 220 degrees at approx 8.5 DME on a bearing of 051 degrees from the airport. IFR procedure not followed. Proper altitude not maintained. Physical imparement of the pilot with carbon monoxide.
06/01/2002,06:45,"George, South Africa",Airquarius Aviation - Charter,,Bloemfontein - George,Hawker Siddeley HS-748-372,ZS-OJU,1782,3.0,0.0,"The private postal service plane crashed into the Outeniqua mountains, near Outeniqua Pass, after a missed approach to George Airport. The aircraft crashed as it circled for another landing attempting poor weather conditions. Former South African cricket captain, Hansie Cronje, 32, the only passenger aboard, was killed along with the crew. Pilot error. The pilot broke with procedure when trying to land the small cargo plane and failed to heed warnings that the aircraft was too near the ground."
07/30/1998,11:05,"Kochi, India",Alliance Airlines,503,Agathi - Kochi - Thiruvananthapuram,Dornier 228-201,VT-EJW,8075/2017,6.0,2.0,"Shortly after taking off the plane pitched up, stalled and crashed to the ground. The  pitch-up was caused by an uncommanded downward movement of the horizontal stabilizer. This was due to a partial detachment of the actuator forward bearing support fitting due to the non-installation of required hi-lok fasteners."
08/11/1998,,"Saurimo, Angola",Alada,,,Antonov An-12BP,D2-FAZ,,13.0,0.0,Blew a tire while landing causing the plane to to run off the runway and crash.
07/11/1996,09:00,"Near Kanda, India",Archana Airlines,,Delhi - Shimla - Kulu,Let 410,VT-ETC,942703,9.0,0.0,The aircraft flew into a Bandi Hill while descending inbound to Kulu in heavy fog.
01/07/1948,07:45,"Near Savannah, Georgia",Coastal Air Lines,,Charlston - Savannah,Douglas DC-3,N60331,12968,27.0,0.0,"After both engines stopped in flight and attempts to restart them failed, the aircraft banked sharply, stalled and crashed 10 miles east northeast of Savannah. The fuel selector valves were positioned so that both engines were supplied fuel from only one of the auxilliary tanks until the fuel was exhausted and control of the plane was lost."
03/20/1969,02:00,"Near Aswan, Egypt",United Arab Airlines,,Jeddah - Aswan,Ilyushin IL-18D,SU-APC,188011301,105.0,0.0,The aircraft crashed and burned while attempting to land  at Aswan Airport for the third time. The pilot descended below minimum safe altitude without having the runway lights clearly in sight. A contributing factor was pilot fatigue.
08/02/1995,,"Johannesburg, South Africa",Aero Air,,Johannesburg - Jamba,Antonov An-2R,RA-05708,1G153-21,3.0,0.0,During the takeoff cargo shifted in the plane causing the aircraft to lose altitude and crash into power lines.
07/09/1962,21:42,"Off Brindisi, Italy",Trans Mediterranean Airways,,,Douglas DC-4,OD-AEC,42918,6.0,0.0,"The cargo plane descended and crashed into the ocean attempting to take off. A loss of power on the No.1 and 2 engines following takeoff, which resulted in a gradual loss of height. The probable slow psycho-physical reaction of the crew, due to fatigue, may have prevented perception of the danger and the timely execution of maneuvers to prevent the accident, or minimize its consequences."
01/28/1961,12'20,"Off Montauk Point, New York",American Airlines,,Training,Boeing 707-123,N7502A,17629/8,6.0,0.0,Crashed into the AtlantiOcean and exploded.
07/15/1965,17:05,"St. Thomas, Virgin Islands",Virgin Islands Airways,,,de Havilland 106A,N6503D,,12.0,0.0,The plane crashed into the water shortly after taking off. The pilot failed to maintain flying speed after lifting off prematurely. Failed to abort takeoff. Selected wrong runway relative to wind. Improperly loaded aircraft.
12/18/1995,,"Kahengula, Angola",Trans Service Airlift,,Kinshasa - Jamba,Lockheed L-188C Electra,9Q-CRR,1080,144.0,0.0,"The plane, chartered by the UNITA rebel movement, stalled and crashed shortly after takeoff from Jamba. Overloaded by 40 passengers. One report stated baggage shifted to the rear of the plane."
09/03/1976,,"Timmins, Ontario, Canada",Austin Airways,,Moosonee - Timmins,de Havilland Canada DHC-3 Otter,CF-MIT,,10.0,0.0,The float plane struck power lines and crashed while attempting to land.
09/28/1960,,"Near Juchetipec, Mexico",Mexicana,,Tapachula - Mexico City,Douglas DC-3 (C-53-DO),XA-HUS,7388,18.0,0.0,Crashed on the slopes of a mountain in dense fog.
01/18/1929,,"Cove, Oregon",Varney Air Lines,,,Stearman C-38,,,1.0,0.0,While attempting to make an emergency landing on the Minam river the plane hit a bolder
06/12/1950,21:52,Off Bahrain,Air France,,Saigon - Paris,Douglas DC-4-1009,F-BBDE,42937,52.0,0.0,"While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
08/03/1970,,"Near Las Vegas, Nevada",Military - United States Navy,,Las Vegas - San Diego,Lockheed P-3A Orion,152159,185-5129,10.0,0.0,Broke up and crashed after penetrating a thunderstorm 50 miles south of Las Vegas.
03/07/1958,,"Menzalah Lake, Egypt",Misrair,,Athens - Cairo,Vickers 628 Viking 1B,SU-AGN,196,26.0,0.0,"While approaching Cairo, the aircraft was diverted to Port Said where it ditched into Menzalah Lake."
05/26/1988,22:25,"Hannover, Germany",Starair,,Billund - Hannover - Nurnberg,Fokker F-27 Friendship 600,OY-APE,10443,2.0,0.0,While landing the cargo plane pitched up for a go-around causing cargo to shift and the plane to lose control and crash.
12/31/1997,07:45,"Rio Sidra, Panama",Parsa,,Panama City - Rio Sidra,Britten Norman BN-2A Trislander,HP-986PS,178,10.0,0.0,"Crashed into dense jungle, 4 miles short of its destination in heavy fog."
08/03/1989,13:43,"Samos, Greece",OlympiAviation,,Thessaloniki - Samos,Shorts 330-200,SX-BGE,SH-3083,34.0,0.0,Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.
04/17/1967,17:40,"Near Mamuniyeh, Iran",Military - Imperial Iranian Air Force,,Shiraz - TerhanI,Lockheed C-130B,5-107,4118,23.0,0.0,Crashed after flying through thunderstorm activity and being struck by lightning.
05/30/1972,06:24,"Dallas/Ft. Worth, Texas",Delta Air Lines,9570,Training,McDonnell Douglas DC-9-14,N3305L,45700,4.0,0.0,While practicing touch and go landing the aircraft crashed after getting caught in the wake turbulence of a DC-10. An encounter with a trailing vortex generated by a preceding 'heavy' jet which resulted in an involuntary loss of control of the airplane during final approach. Although cautioned to expect turbulence the crew did not have sufficient information to evaluate accurately the hazard or the possible location of the vortex. Existing FAA procedures for controlling VFR flight did not provide the same protection from a vortex encounter as was provided to flights being given radar vectors in either IFR or VFR conditions.
06/15/1965,09:50,"Near Colombus, Georgia",Military - U.S. Army / Military - U.S. Army,,,Bell UH-1D / Bell UH1D (helicopters),63-8760/63-8840,,18.0,0.0,"Two helicopters flying in formation, crashed in mid-air at Benning military base. Ten aboard 8760 and 8 aboard 8840 killed."
10/04/1928,,"Gerona, Spain",Aeropostale,,,Breguet 14,,,3.0,0.0,
11/17/1972,23:20,"Elkton, Kentucky",Metro Air Systems,,"Hopkinsville, KY - Lexington, KY",Beech G18S,N2700S,,11.0,0.0,"Improperly loaded aircraft, weight and center of gravity."
11/22/1945,10:00,"White's Farm, England",Military -Royal Air Force,,,Consolidated LB-30A Liberator,KH126,,27.0,0.0,"The aircraft crashed into a hill shortly after takeoff after and  making a turn, before reaching the prescribed altitude."
01/18/1988,22:17,"Near Chungking, Sichuan, China",China Southwest Airlines,4146,Beijing - Chongqing,Ilyushin IL-18D,B-222,187009901,108.0,0.0,The aircraft crashed 10 minutes before its scheduled landing. Fire in and failure of the No. 4 engine led to separation of the pylon and engine and loss of control of the aircraft. Overheating of the feathering oil. Poor maintenance procedures.
09/27/1946,,"Rio Doce, Brazil",Panair do Brasil,,Belo Horizonte  - Rio de Janerio,Douglas DC-3A-228D,PP-PCH,4087,25.0,0.0,Crashed into a mountainside north of Rio de Janerio.
10/29/1929,,"Mount Vernon, Ohio",Continental Air Lines,,Cleveland - Louisville,Stearman C-38,,,1.0,0.0,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.
04/19/1960,20:48,"Bogota, Colombia",Lloyd Aereo Colombiano,503,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51.0,0.0,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.
06/30/1975,19:30,"Near Saravena, Colombia",Taxi Aereo El Venado,,Cucuta - Tame,Douglas DC-4,HK-1309,10403,3.0,0.0,The cargo plane crashed en route.
11/19/1977,04:12,"Rome, Italy",Ethiopian Airlines,,"Rome, Italy - Asmara, Ethiopia",Boeing 707-360C,ET-ACD,19736/696,5.0,0.0,The cargo plane failed to gain altitude and crashed into trees.
04/19/1997,07:39,"Tanjung Pandan, Indonesia",Merpati Nusantara Airlines,106,Jakarta - Tanjung Pandan,British Aerospace ATP,PK-MTX,2048,53.0,0.0,"During the final stage of a visual approach, one of the aircraft's engines failed. The crew failed to correctly identify the problem and because of the flight regime, the propeller did not autofeather. The approach was continued, however, as the aircraft descended through about 2,000ft., power was applied at the start of a go-around. Control was lost and the aircraft crashed."
03/25/2000,,"Huambo, Angola",Uralex,,Huambo - Luanda,Antonov AN-32,D2-MAJ,ZZX3201,33.0,0.0,"The aircraft, leased from a Ukrainian company, overran they runway and crashed into a ditch after an aborted takeoff."
08/27/1992,,El Salvador,Military - Salvadorian Air Force,,,Fairchild C123K,FAES121,20191,14.0,0.0,
10/22/1958,11:50,"Anzio, Italy",British European Airways,142,London - Napoli,Vickers Viscount 701C,G-ANHC,063,31.0,0.0,Midair collision with an Italian Air Force F-86. The airliner drifted off course. Neither pilot saw each other before they collided.
01/27/1978,13:50,"Near San Vincente, Colombia",SADELCA,,Neiva - San Vincente,Douglas DC-3,HK-1351X,42958,14.0,0.0,"Struck a 7,000 ft. mountain in fog."
12/19/1978,16:58,"Morton, Illinois",Galesburg Aviation - Air Taxi,,"Terra Haute, IN - Moline, IN",Cessna 210L,N4638Q,21059538,2.0,0.0,Collided with wires in fog and low ceiling. Continued VFR flight into adverse weather conditions.
04/08/1999,11:35,"Near Malaga, Colombia",Aerotaca,,Bucaramanga - Malaga,de Havilland Canada DHC-6 Twin Otter 300,HK-2760,777,5.0,0.0,"The aircraft crashed into La Caida Hill in fog, 10 minutes from its destination. The aircraft was off course."
10/17/1958,,"Near Kanash, Russia",Aeroflot,,Peking - Moscow,Tupolev TU-104A,CCCP-42362,,80.0,0.0,"The plane was on a flight from Peking to Moscow at FL330 when it went out of control. The aircraft experienced extreme turbulence during a climb, stalled and plunged to earth and burned. The captain described everything as it happened as he attempted to recover from the uncontrolled descent, ending the radio transmission with a farewell."
01/14/1977,,"Terrace, BC, Canada",Northern Thunderbird Air Ltd.,,Prince George - Prince Rupert,de Havilland Canada DHC-6 Twin Otter 300,C-GNTB,463,12.0,0.0,Crashed into Little Herman Mountain while on approach.
01/08/2003,08:53,"Charlotte, North Carolina",US Air Express/Air Midwest,5481,"Charlotte, NC - Greer, SC",Beech BE-1900D,N233YV,UE-233,21.0,0.0,"The commuter plane was not able to maintain altitude after taking off from Charlotte-Douglas International Airport and crashed into the side of a hanger and burst into flames. The weather was clear, cold and windy, with greater than 10 miles visibility at the time of the accident. The airplane's loss of pitch control during takeoff was the result of incorrect rigging of the elevator control system compounded by the airplane's center of gravity, which was substantially aft of the certified aft limit. Contributing to the cause of the accident was: (1) Air Midwest's lack of oversight of the work being performed at the Huntington, West Virginia, maintenance station, (2) Air Midwest's maintenance procedures and documentation, (3) Air Midwest's weight and balance program at the time of the accident, (4) the Raytheon Aerospace quality assurance inspector's failure to detect the incorrect rigging of the elevator system, (5) the FAA's average weight assumptions in its weight and balance program guidance at the time of the accident and (6) the FAA's lack of oversight of Air Midwest's maintenance program and its weight and balance program."
07/06/1996,15:42,"Pensacola, Florida",Delta Air Lines,1288,Pensacola - Atlanta,McDonnell Douglas MD-88,N927DA,49714/1524,142.0,0.0,Fan disk separation in the left engine. Pieces of the engine penetrated the passenger cabin killing two passengers. The fan hub for the left engine was found to be fractured and went undetected at time of manufacture. The crack should have been detectable during inspection but was missed.
09/04/1973,22:30,"Gary, Indiana",Aegler Stuart Flying Service  / Private,,"Grand Rapids, MI - Gary, IN",Piper PA-30 / Cessna 337A,N7881Y / N6270F,,5.0,0.0,"The Piper, landing on Runway 20 collilded with the Cessna at a runway intersection. Two killed on each plane. Pilots failed to see and avoid eachother."
10/02/1994,,"Off Lord Howe Island, NWSW, Australia",Seaview Aviation,,Newcastle - Lord Howe Island,Rockwell Turbo Commander 690B,VH-SVQ,11380,9.0,0.0,Crashed at sea 42 minutes after departing.  The pilot reported mechanical problems before contact was lost with the plane.
04/09/2009,07:00,"Near Wamena, Indonesia",Aviastar Mandiri,,Jayapura - Wamena,British Aerospace BAe-146-300,PK-BRD,E3189,6.0,0.0,The cargo plane crashed into Gunung Pike mountain while on approach and attempting to land at Wamena Airport.
11/12/1999,11:13,"Near Pristina, Kosovo",Si Fly - U.N. charter,3275,Rome - Pristina,Aerospatiale Alenia ATR-42,F-OHFV,12,24.0,0.0,"The plane was on a flight from Rome, Italy to Pristina, Kosovo with a stop at Tirana, Albania. The plane disappeared from radar and crashed about 10 miles north of Pristina into a hill in poor weather. The plane was a U.N. charter flight on a routine humanitarian mission to distribute food. Lack of procedural discipline and vigilance during flight in mountainous terrain. Improper tracking by the military ATC. Crew fatigue.  Inoperable GPWS."
09/24/1959,22:24,"Bordeaux, France",T.A. Intercontinentaux (France),,Bordeaux - Bamako,Douglas DC-7C,F-BIAP,45366/892,65.0,0.0,"Crashed shortly after takeoff, not gaining altitude and colliding with trees. Crew did not properly monitor altimeter."
02/28/1973,,"Szczecin, Poland",Military - Polish Air Force,,,Antonov An-24B,012,97305702,15.0,0.0,Crashed while  en route. Twelve Interior Ministers of Poland and Czechoslovakia
07/12/1945,14:36,"Near Florence, South Carolina",Eastern Air Lines / Military - U.S. Army Air Corps,45,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C /  Army A-26,NC25647,2235,10.0,0.0,"After deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. The commercial pilot landed the plane in a corn field.  Two occupants of the A-26 (33-35553) were killed and one parachuted safely. One infant was killed on the DC-3.  Lack of vigilance on the part  of the pilots of both aircraft, resulting in the failure of each pilot to see the other aircraft in time to  avoid a collision."
11/05/1978,,"Off Alexandria, Egypt",Nile Delta Air Services,,,Douglas DC-3,SU-AZM,,18.0,0.0,Crashed into the ocean.
03/09/2000,08:40,"Moscow, Russia",Vologodskiye Airlines,,Moscow - Kiev,Yakovlev YAK-40,RA-88170,9620847,9.0,0.0,"The aircraft climbed to an altitude of about 100 ft., stalled, lost control and crashed. Ice build up on the wings. Flaps incorrectly set."
11/27/1983,10:06,"Madrid-Barajas, Spain",AVIANCA,11,Paris - Madrid - Bogota,Boeing B-747-283B,HK-2910,21381,192.0,0.0,"While attempting to land at Madrid, the crew intercepted the wrong ILS track which caused the pilot to initiate a right turn short of the VOR beacon. The aircraft impacted a series of hills during which the right wing broke off, the aircraft cartwheeled and broke into 5 pieces and came to rest upside down. Procedural errors by the crew including the pilot not knowing his precise position before descending, failure of the crew to take corrective action after a warning from the  ground proximity warning system and deficient teamwork on the flight deck.  The aircraft was named 'Magnus Viking,' LN-RNA and dry-leased from SAS."
06/05/1930,,"Boston, Massachusetts",Colonial Air Transport,,,Ford Tri-Motor 5,NC9675,5-AT-033,15.0,0.0,Crashed into Boston Harbor after loosing the right  engine on takeoff.
03/10/1966,17:14,"Reef Island, Alaska",,,,Grumman G-21A,CF-MSK,B-32,7.0,0.0,"Undershot the runway on final approach in snow, after pilot misjudged altitude and clearance. VFR flight into adverse weather conditiions."
11/29/1991,,"Guaratingueta AB, Brazil",Military - Força Aérea Brasileira,,Brasilla  - Guarantinguerta,Embraer C-95C Bandeirante,FAB2333,110473,20.0,0.0,Flew into the side of a hill towards the end of the flight while flying VOR.  The crew flew along the wrong valley.
06/09/1950,19:00,"Near Fonseca, Colombia",New Tribes Mission,,"Kingston, Jamacia - Maracaibo, Venezuela",Douglas DC-3-178,N16030,1546,15.0,0.0,Crashed and burned 19 miles east northeast of Fonseca well off course. Cause unknown.
03/05/1967,20:07,"Near Marseille, Ohio",Lake Central Airlines,527,Colombus - Toledo,Convair CV-380,N73130,023,38.0,0.0,The aircraft crashed following the separation in flight of all four blades of the right propeller. No. 2 blade penetrated and destroyed the structural integrity of the fuselage. Malfunction of the hydraulipitch control mechanism. Uncontrollable overspeeding. Propeller separation in flight. Omission of the torque piston nitriding process during manufacture and failure of quality control to detect the omission.
05/28/1935,,"Maywood, Illinois",Chicago and Southern Airlines,,Chicago - St. Louis,Stinson SM6000B Tri-motor,NC10894,,2.0,0.0,Crashed into the ground on a farm at high speed.
02/28/1963,21:29,"Boston, Massachusetts",Eastern Air Lines,,,Douglas DC-7,N842D,454448/944,26.0,1.0,"With engines idling, a girl ran into the No. 2 propeller despite warnings of ramp personnel. Suicide."
05/23/2006,18:22,Off São Tomé Island,Air São Tomé,,Training,de Havilland Canada DHC-6 Twin Otter 300,S9-BAL,648,4.0,0.0,The aircraft disappeared from radar screens while on approach to São Tomé Island. The aircraft crashed in sea a  few km off shore.
06/15/1953,,"San Ramon Mtns., Costa Rica",LACSA,,Palmar Sur - San Isidoro,Douglas DC-3,TI-1002,14633/26078,14.0,0.0,Crashed into a mountainside while attempting to land in poor weather.
02/05/1949,,"Buenaventura Bay, Colombia",AVIANCA,,,Consolidated PBY-5A Catalina,HK-134,,14.0,0.0,Crashed while attempting to land.
12/21/1967,16:00,"Denver, Colorado",Frontier Airlines,,"Denver, CO - Scottsbluff, NE",Douglas C-47A,N65276,19202,2.0,0.0,The cargo plane crashed on takeoff. The failure of the crew to perform a pre-takeoff control check resulting in takeoff with the elevators immobilized by a control batten.
11/26/1938,,"Bathurst, Gambia",Deutsche Lufthansa,,,Junkers JU90V2,D-AIVI,4914,15.0,0.0,During takeoff the aircraft hit a palm tree and burst into flames due to engine failure.
06/05/1983,13:23,"Cape Town, South Africa",Linair Express,,Cape Town - Johannesburg,Cessna 402B,ZS-KVG,,9.0,0.0,Crashed onto a road after taking off.
04/22/1966,20:30,"Near Ardmore, Oklahoma",American Flyers Airline,280D,Monterey - Ardmore,Lockheed 188C Electra,N183H,1136,98.0,0.0,"The aircraft crashed into foothills during landing attempt at Ardmore Municipal Airport . During the approach in rain and fog, the captain made a last-minute change in his choice of runways. One minute later the plane crashed into high ground. Incapacitation of the captain with a heart attack during final stages of approach.  The captain, who suffered from a long standing heart condition and diabetes, managed to keep his pilot's license by falsifying his medical records."
05/08/1964,20:20,"Near Lima, Peru",Fuerza Aérea Argentina,,Buenos Aires - Lima,Douglas C-54,T-47,,49.0,0.0,Crashed into a sand dune while attempting to land at Lima in heavy fog. Improper IFR procedures by the crew
08/27/1959,,"Near Asuncion, Paraguay",Aerolineas Argentinas,,,de Havilland DH-106 Comet 4,LV-AHP,6411,50.0,0.0,The aircraft descended below MDA and crashed 5 miles short of the runway while on approach to Asuncion. Pilot error.
02/19/1972,,"Little Rock, Arkansas",Military - U.S. Air Force,,,Lockheed C-130E Hercules,62-1813,3775,7.0,0.0,Midair collision with a T-37 trainer while on approach to Little Rock. Both pilots on the trainer ejected safely.
05/17/1950,20:59,"Lagens Air Force Base, Azores",Military - U.S. Air Force,,Bermuda - England,Boeing B-29,,,16.0,0.0,Crashed while attempting to land after being diverted to Lagens due to engine trouble.
08/14/1991,,"Near Uricani, Romania",Tarom,,Bucharest - Timisoara,Ilyushin IL-18V,YR-IMH,185008301,9.0,0.0,The cargo plane crashed in a rainstorm.
09/15/1920,,"Pemberville, Ohio",US Aerial Mail Service,,,Junkers F-13,308,,2.0,0.0,
01/18/1976,15:44,"Near San Borja, Bolivia",Frigorifico Maniqui,,,Douglas C-47,CP- 573,4682,10.0,0.0,"The plane was forced to return to San Borja after the No.2 engine failed.  After crossing the runway the plane crashed into trees 1.2 miles past the end of the runway. Malfunction or failure of the No. 2 engine, landing gear malfunction and an improper landing procedure."
03/07/1948,,"Near Skalafell, Iceland",Loftleidir IcelandiAirlines,,,Avro Anson,TF-RVL,4185,5.0,0.0,Crashed into a mountain.
05/23/2004,07:30,"Mwingi, Kenya",Blue Bird Aviation,,Nairobi - Mogadiscio,Let 410UVP,5Y-VVD,872009,2.0,0.0,While en route the cargo plane collided with another Let 410 of the same operator. The first aircraft crashed killing both pilots while the second  made a safe landing.
08/08/1984,,"Machakos, Kenya",Pioneer Airlines,,,Cessna 402A,5Y-AMS,402A-0038,9.0,0.0,
01/16/1987,06:40,"Cima, California",California Air Charter,,"Ontario, CA - Las Vegas, NV",Cessna 208 Caravan I,N9613F,208-00106,1.0,0.0,"While en route the cargo plane began a gradual descent until it impacted a mountain at 6,500 ft.  Altitude not maintained. Inadvertent descent by pilot. Pilot fatigue (lack of sleep)."
04/01/1993,16:15,"Aspen, Colorado",Air Taxi - Sea PacifiInc.,,,Aerospatiale SA316B,N3153R,1484,4.0,0.0,"While in cruise flight at an altitude of 150 to 200 feet agl, the surviving passenger heard abnormal sounds from the helicopter which then began a descending right bank into trees. Examination of the helicopter disclosed fatigue failure of the lower mixing unit and a fatigue crack in the upper mixing unit on the flight control system."
08/05/2008,19:30,"Near Junction City, California",Junction City Fire Department,,Ferrying fire fighters,Sikorsky S-61N,N612AZ,61297,13.0,0.0,"The helicopter was ferrying fire fighters in Northern California's Shasta-Trinity National Forest when it crashed. The four survivors were seriously burned, with two listed in critical condition. The helicopter lost main rotor power during liftoff."
12/04/1977,20:15,"Straits of Johore, near Kampung Ladang, Malaysia",Malaysia Airlines,653,Penang - Kuala Lumpur,Boeing B-737-2H6,9M-MBD,20585/306,100.0,0.0,"During a hijacking and while descending from 21,000 to 7,000 feet, both pilots were shot and the aircraft crashed into a swamp."
06/22/1934,,"Chausseehausen, Germany",Deutsche Lufthansa,,,Dornier Merkur,D-1445,176,7.0,0.0,Weather related.
08/11/1984,01:00,"Near Memphis, Tennessee",Aviation Enterprises,,Memphis - Chicago,Douglas DC-3,N70003,12938,3.0,0.0,During takeoff the crew lost the No. 1 engine. The plane struck utility poles and crashed through the roof of a building. Missing spark plug from the No. 1 engine in the No. 14 cylinder.
